OPR_DT,VALUE
2/16/23,79.24414
2/16/23,75.82425
2/16/23,86.80411
2/16/23,87.11402
2/16/23,95.68135
2/16/23,104.30241
2/16/23,105.28146
2/16/23,106.25407
2/16/23,110.0012
2/16/23,110.002
2/16/23,112.46
2/16/23,101.5858
2/16/23,96.07614
2/16/23,93.65774
2/16/23,93.71233
2/16/23,93.10032
2/16/23,75.76689
2/16/23,70.03788
2/16/23,64.26361
2/16/23,60.67804
2/16/23,55.12155
2/16/23,51.02056
2/16/23,51.59307
2/16/23,61.62209
2/16/23,60.2584
2/16/23,58.2874
2/16/23,59.80708
2/16/23,73.29552
2/16/23,72.4296
2/16/23,52.8274
2/16/23,56.43366
2/16/23,55.15436
2/16/23,51.84004
2/16/23,50.52611
2/16/23,51.12506
2/16/23,67.71929
2/16/23,63.78395
2/16/23,64.22439
2/16/23,72.23384
2/16/23,72.50533
2/16/23,69.83741
2/16/23,60.68748
2/16/23,56.83574
2/16/23,56.83574
2/16/23,55.28494
2/16/23,54.1516
2/16/23,54.49477
2/16/23,59.99807
2/16/23,60.27312
2/16/23,62.48107
2/16/23,62.15836
2/16/23,59.56889
2/16/23,59.56889
2/16/23,54.7947
2/16/23,52.71993
2/16/23,52.29272
2/16/23,43.66128
2/16/23,48.92232
2/16/23,46.56622
2/16/23,49.9134
2/16/23,48.97043
2/16/23,48.67326
2/16/23,43.9768
2/16/23,48.58403
2/16/23,46.11729
2/16/23,43.73376
2/16/23,33.11129
2/16/23,34.20767
2/16/23,42.43627
2/16/23,36.37012
2/16/23,40.40594
2/16/23,66.07017
2/16/23,60.89114
2/16/23,58.79625
2/16/23,59.22642
2/16/23,59.30293
2/16/23,58.76077
2/16/23,48.51204
2/16/23,47.70656
2/16/23,48.20115
2/16/23,48.26073
2/16/23,48.10321
2/16/23,52.69218
2/16/23,50.46958
2/16/23,51.46231
2/16/23,51.61837
2/16/23,42.96502
2/16/23,54.67801
2/16/23,53.1576
2/16/23,53.84684
2/16/23,54.72362
2/16/23,57.04598
2/16/23,54.91722
2/16/23,54.12891
2/16/23,52.63588
